

//直，播，元分享tg群https://t.me/dszby


//手机看片免费软件库
//https://jxfd.lanzoub.com/b01381rfeb


📡全网通区,#genre#
CCTV1综合,http://106.53.99.30/tv/hot.php?id=cctv1
CCTV2财经,http://106.53.99.30/tv/hot.php?id=cctv2
CCTV3综艺,http://106.53.99.30/tv/hot.php?id=cctv3
CCTV4中文国际,http://106.53.99.30/tv/hot.php?id=cctv4
CCTV4美洲,http://106.53.99.30/tv/hot.php?id=cctv4m
CCTV4欧洲,http://106.53.99.30/tv/hot.php?id=cctv4o
CCTV5体育,http://106.53.99.30/tv/hot.php?id=cctv5
CCTV5+体育赛事,http://106.53.99.30/tv/hot.php?id=cctv5p
CCTV6电影,http://106.53.99.30/tv/hot.php?id=cctv6
CCTV7国防军事,http://106.53.99.30/tv/hot.php?id=cctv7
CCTV8电视剧,http://106.53.99.30/tv/hot.php?id=cctv8
CCTV9纪录,http://106.53.99.30/tv/hot.php?id=cctv9
CCTV10科教,http://106.53.99.30/tv/hot.php?id=cctv10
CCTV11戏曲,http://106.53.99.30/tv/hot.php?id=cctv11
CCTV12社会与法,http://106.53.99.30/tv/hot.php?id=cctv12
CCTV13新闻,http://106.53.99.30/tv/hot.php?id=cctv13
CCTV14少儿,http://106.53.99.30/tv/hot.php?id=cctv14
CCTV15音乐,http://106.53.99.30/tv/hot.php?id=cctv15
CCTV16奥运,http://106.53.99.30/tv/hot.php?id=cctv16
CCTV17农业农村,http://106.53.99.30/tv/hot.php?id=cctv17
CHC家庭影院,http://106.53.99.30/tv/hot.php?id=jtyy
CHC动作电影,http://106.53.99.30/tv/hot.php?id=dzdy
CHC影迷电影,http://106.53.99.30/tv/hot.php?id=ymdy
CCTV发现之旅,http://106.53.99.30/tv/hot.php?id=fxzl
CCTV中学生,http://106.53.99.30/tv/hot.php?id=zxs
CCTV老故事,http://106.53.99.30/tv/hot.php?id=lgs
CETV 1 中国教育,http://106.53.99.30/tv/hot.php?id=cetv1
CETV 2 中国教育,http://106.53.99.30/tv/hot.php?id=cetv2
CETV 4 中国教育,http://106.53.99.30/tv/hot.php?id=cetv4
湖南卫视,http://106.53.99.30/tv/hot.php?id=hunws
北京卫视,http://106.53.99.30/tv/hot.php?id=bjws
浙江卫视,http://106.53.99.30/tv/hot.php?id=zjws
广东卫视,http://106.53.99.30/tv/hot.php?id=gdws
江苏卫视,http://106.53.99.30/tv/hot.php?id=jsws
东方卫视,http://106.53.99.30/tv/hot.php?id=dfws
陕西卫视,http://106.53.99.30/tv/hot.php?id=sxws
江西卫视,http://106.53.99.30/tv/hot.php?id=jxws
湖北卫视,http://106.53.99.30/tv/hot.php?id=hubws
吉林卫视,http://106.53.99.30/tv/hot.php?id=jlws
青海卫视,http://106.53.99.30/tv/hot.php?id=qhws
河南卫视,http://106.53.99.30/tv/hot.php?id=hnws
东南卫视,http://106.53.99.30/tv/hot.php?id=dnws
大湾区卫视,http://106.53.99.30/tv/hot.php?id=dwqws
